categorie;mois;budget_prevu
Logement;2026-01;5740.00
Transport;2026-01;810.00
Alimentation;2026-01;930.00
Loisirs;2026-01;590.00
Sante;2026-01;510.00
Autre;2026-01;740.00
Logement;2026-02;6690.00
Transport;2026-02;760.00
Alimentation;2026-02;860.00
Loisirs;2026-02;620.00
Sante;2026-02;490.00
Autre;2026-02;650.00
Logement;2026-03;6060.00
Transport;2026-03;850.00
Alimentation;2026-03;880.00
Loisirs;2026-03;590.00
Sante;2026-03;500.00
Autre;2026-03;680.00
Logement;2026-04;5990.00
Transport;2026-04;830.00
Alimentation;2026-04;860.00
Loisirs;2026-04;580.00
Sante;2026-04;480.00
Autre;2026-04;670.00
Logement;2026-05;6470.00
Transport;2026-05;760.00
Alimentation;2026-05;940.00
Loisirs;2026-05;590.00
Sante;2026-05;510.00
Autre;2026-05;660.00
Logement;2026-06;6000.00
Transport;2026-06;800.00
Alimentation;2026-06;850.00
Loisirs;2026-06;580.00
Sante;2026-06;510.00
Autre;2026-06;650.00
