date_operation;libelle;categorie;montant;moyen_paiement;note
20-05-2026;EDF;  Logement ;894.56;CB;
09-02-2026;SNCF Connect;transport;40,37 EUR;CARTE;cadeau
01-06-2026;Assurance Habitation;Logement;814.78;CB;a verifier
04/03/2026;Assurance Habitation;Logement;759.81;prelevement;
2026-06-19;Total Energies;Transport;77.76;prelevement;pro
25-06-2026;SNCF Connect;;18.04;CB;
;Cinema Pathe;loisirs;97.10;CB;
10/05/2026;Orange Fibre;Logement;338,39;CB;
01/06/2026;EDF;logement;739,40;CB;
17-02-2026;Mutuelle;Sante;52.77;carte;
22/03/2026;Cinema Pathe;loisirs;71.53;CB;
12/03/2026;Marjane;ALIMENTATION;87,67;carte;
18-06-2026;EDF;Logement;467,32;prelevement;
2026-05-21;Lidl;alimentation;120.76;CARTE;
09-04-2026;Lidl;ALIMENTATION;138,75 EUR;CB;
2026-03-24;NETFLIX;;84.99;carte;
24/02/2026;Cinema Pathe;loisirs;N/A;virement;
2026-02-21;Uber;TRANSPORT;36,86;carte;
01-02-2026;Dr Diallo;sante;89,75 EUR;CB;cadeau
09/04/2026;Loyer Appartement;Logement;658.03;CB;
2026-05-19;Lidl;ALIMENTATION;21.47;CB;
;Pass Navigo;Transport;23.35;CARTE;urgent
2026-06-07;Spotify;Loisirs;-116,05 EUR;CARTE;pro
27/04/2026; Boulangerie Paul  ;alimentation;2.12;carte;
2026-05-02;Mutuelle;sante;42.08;CB;
2026-02-18;Cinema Pathe;Loisirs;103.57;VIR;pro
28/05/2026; Pass Navigo  ;Transport;95,82 EUR;carte;
01/06/2026;Cinema Pathe;LOISIRS;68.33;CB;
10/02/2026;SNCF Connect;Transport;100.37;CARTE;
2026-03-15;PHARMACIE CENTRALE;Sante;25.62;CB;
04/05/2026;Mutuelle;SANTE;61.39;CB;
2026-06-16;Cinema Pathe;Loisirs;73,02 EUR;VIR;
24/03/2026; Pharmacie Centrale  ;Sante;81,68;prelevement;
2026-05-27;SNCF Connect;Transport;136.87;carte;urgent
18-05-2026;Lidl;Alimentation;131.39;carte;
28/05/2026;Pass Navigo;transport;50.79;prelevement;urgent
26-06-2026;Uber;Transport;138.44;prelevement;
04-05-2026;Total Energies;  Transport ;68,94 EUR;CB;
2026-04-13;SNCF Connect;transport;144.79;carte;
2026-04-12;Total Energies;Transport;37571.90;virement;
13/02/2026;Spotify;loisirs;120.37;CB;
23/01/2026;Loyer Appartement;Logement;663.80;virement;
19/06/2026;Carrefour Market;ALIMENTATION;84.97;CB;
2026-03-20;Uber;Transport;-65.75;virement;
2026-04-12;Loyer Appartement;Logement;584.62;CB;
10-05-2026;LOYER APPARTEMENT;Logement;464,54;CB;
2026-04-15;Marjane;Alimentation;77.51;CB;
2026-03-05;Pass Navigo;Transport;11.75;virement;
11-04-2026; Lidl  ;  Alimentation ;102.04;prelevement;
27-05-2026;Boulangerie Paul;Alimentation;84.17;carte;urgent
18/01/2026; Uber  ;;90,93;CB;
2026-01-07;SNCF Connect;Transport;79.13;prelevement;
17-01-2026;Assurance Habitation;logement;821.64;carte;
21/03/2026; Fnac  ;Loisirs;109.47;carte;
12-03-2026;Marjane;Alimentation;105.89;CARTE;
08/01/2026;Dr Diallo;Sante;31.92;virement;
2026-02-16;SNCF Connect;Transport;107.24;prelevement;a verifier
;Mutuelle;;101.94;CB;
04-02-2026;Marjane;  Alimentation ;23.18;prelevement;
2026-06-08;Loyer Appartement;Logement;639.81;carte;
04/03/2026;Dr Diallo;Sante;82.33;CB;
05/03/2026;Mutuelle;sante;24,64 EUR;VIR;
2026-04-19;Assurance Habitation;Logement;792.42;virement;
2026-03-27;Loyer Appartement;  Logement ;746.01;CARTE;pro
18/02/2026;Total Energies;Transport;83.40;CB;
08/04/2026;Fnac;Loisirs;100.46;virement;
04-02-2026;Marjane;Alimentation;119,50 EUR;CB;
16-05-2026;Orange Fibre;logement;379,78;VIR;urgent
23-01-2026;EDF;Logement;677,05 EUR;CB;
12-01-2026;Assurance Habitation;Logement;779.50;VIR;
2026-04-11;EDF;logement;-569,70 EUR;CB;
24/02/2026; EDF  ;Logement;326.75;CB;
2026-01-18;Netflix;;80.29;prelevement;urgent
09-04-2026;Pharmacie Centrale;Sante;110.68;VIR;
10-03-2026;Netflix;;N/A;prelevement;
08-03-2026; SNCF Connect  ;;137.67;CB;urgent
;Netflix;Loisirs;51.51;VIR;cadeau
19/04/2026;PASS NAVIGO;TRANSPORT;138,33;CB;
12-06-2026;Netflix;  Loisirs ;104.62;CB;pro
25/04/2026;Assurance Habitation;LOGEMENT;346.71;CB;
25-05-2026;EDF;Logement;777.31;CARTE;pro
2026-04-12;Total Energies;Transport;37571.90;virement;
2026-02-09;TOTAL ENERGIES;Transport;71.70;CB;
23-03-2026;Carrefour Market;;31.16;CB;
12/01/2026;Assurance Habitation;Logement;559.82;CB;urgent
2026-05-23;EDF;Logement;475,58 EUR;CARTE;
20-05-2026;Boulangerie Paul;ALIMENTATION;103.48;VIR;
2026-03-12;SNCF Connect;Transport;102,00 EUR;VIR;a verifier
21/05/2026;Pass Navigo;Transport;55,46 EUR;CARTE;cadeau
13-06-2026;Marjane;Alimentation;130.29;prelevement;
07/04/2026; SNCF Connect  ;TRANSPORT;73.04;VIR;
17-05-2026;Loyer Appartement;Logement;705.50;CB;
07/03/2026;Assurance Habitation;LOGEMENT;394.41;carte;
26/02/2026;EDF;Logement;315.76;CB;a verifier
2026-03-01;Uber;Transport;74.61;carte;
18-06-2026;Uber;Transport;85,14;CB;
22/01/2026;Cinema Pathe;;28.19;CB;
07/01/2026;Orange Fibre;Logement;685.56;CB;pro
2026-06-24;CINEMA PATHE;Loisirs;117.58;CB;
2026-01-10;Carrefour Market;Alimentation;16,09 EUR;carte;
16-02-2026;EDF;LOGEMENT;399.17;CARTE;
19-05-2026;Spotify;Loisirs;132,09 EUR;virement;cadeau
;SNCF CONNECT;Transport;57,28 EUR;carte;urgent
08-01-2026;Lidl;  Alimentation ;112.36;virement;pro
19-06-2026;Cinema Pathe;  Loisirs ;116.22;virement;a verifier
;Uber;  Transport ;97.32;CB;cadeau
13/02/2026;Pharmacie Centrale;Sante;51.95;CB;
15/06/2026;Orange Fibre;Logement;416,66;CB;
27/02/2026;Mutuelle;SANTE;58,85;CARTE;
09/05/2026;Fnac;Loisirs;112.12;CB;
2026-06-24;CINEMA PATHE;Loisirs;117.58;CB;
2026-04-11;Lidl;alimentation;97,62;prelevement;urgent
21/02/2026;EDF;Logement;451,50;prelevement;urgent
