date_operation,libelle,categorie,montant,moyen_paiement,note,mois,jour_semaine
2026-05-20,Edf,Logement,894.56,CB,,2026-05,Wednesday
2026-02-09,Sncf Connect,Transport,40.37,CB,cadeau,2026-02,Monday
2026-06-01,Assurance Habitation,Logement,814.78,CB,a verifier,2026-06,Monday
2026-03-04,Assurance Habitation,Logement,759.81,PRELEVEMENT,,2026-03,Wednesday
2026-06-19,Total Energies,Transport,77.76,PRELEVEMENT,pro,2026-06,Friday
2026-06-25,Sncf Connect,Autre,18.04,CB,,2026-06,Thursday
2026-05-10,Orange Fibre,Logement,338.39,CB,,2026-05,Sunday
2026-06-01,Edf,Logement,739.4,CB,,2026-06,Monday
2026-02-17,Mutuelle,Sante,52.77,CB,,2026-02,Tuesday
2026-03-22,Cinema Pathe,Loisirs,71.53,CB,,2026-03,Sunday
2026-03-12,Marjane,Alimentation,87.67,CB,,2026-03,Thursday
2026-06-18,Edf,Logement,467.32,PRELEVEMENT,,2026-06,Thursday
2026-05-21,Lidl,Alimentation,120.76,CB,,2026-05,Thursday
2026-04-09,Lidl,Alimentation,138.75,CB,,2026-04,Thursday
2026-03-24,Netflix,Autre,84.99,CB,,2026-03,Tuesday
2026-02-21,Uber,Transport,36.86,CB,,2026-02,Saturday
2026-02-01,Dr Diallo,Sante,89.75,CB,cadeau,2026-02,Sunday
2026-04-09,Loyer Appartement,Logement,658.03,CB,,2026-04,Thursday
2026-05-19,Lidl,Alimentation,21.47,CB,,2026-05,Tuesday
2026-04-27,Boulangerie Paul,Alimentation,2.12,CB,,2026-04,Monday
2026-05-02,Mutuelle,Sante,42.08,CB,,2026-05,Saturday
2026-02-18,Cinema Pathe,Loisirs,103.57,VIREMENT,pro,2026-02,Wednesday
2026-05-28,Pass Navigo,Transport,95.82,CB,,2026-05,Thursday
2026-06-01,Cinema Pathe,Loisirs,68.33,CB,,2026-06,Monday
2026-02-10,Sncf Connect,Transport,100.37,CB,,2026-02,Tuesday
2026-03-15,Pharmacie Centrale,Sante,25.62,CB,,2026-03,Sunday
2026-05-04,Mutuelle,Sante,61.39,CB,,2026-05,Monday
2026-06-16,Cinema Pathe,Loisirs,73.02,VIREMENT,,2026-06,Tuesday
2026-03-24,Pharmacie Centrale,Sante,81.68,PRELEVEMENT,,2026-03,Tuesday
2026-05-27,Sncf Connect,Transport,136.87,CB,urgent,2026-05,Wednesday
2026-05-18,Lidl,Alimentation,131.39,CB,,2026-05,Monday
2026-05-28,Pass Navigo,Transport,50.79,PRELEVEMENT,urgent,2026-05,Thursday
2026-06-26,Uber,Transport,138.44,PRELEVEMENT,,2026-06,Friday
2026-05-04,Total Energies,Transport,68.94,CB,,2026-05,Monday
2026-04-13,Sncf Connect,Transport,144.79,CB,,2026-04,Monday
2026-02-13,Spotify,Loisirs,120.37,CB,,2026-02,Friday
2026-01-23,Loyer Appartement,Logement,663.8,VIREMENT,,2026-01,Friday
2026-06-19,Carrefour Market,Alimentation,84.97,CB,,2026-06,Friday
2026-04-12,Loyer Appartement,Logement,584.62,CB,,2026-04,Sunday
2026-05-10,Loyer Appartement,Logement,464.54,CB,,2026-05,Sunday
2026-04-15,Marjane,Alimentation,77.51,CB,,2026-04,Wednesday
2026-03-05,Pass Navigo,Transport,11.75,VIREMENT,,2026-03,Thursday
2026-04-11,Lidl,Alimentation,102.04,PRELEVEMENT,,2026-04,Saturday
2026-05-27,Boulangerie Paul,Alimentation,84.17,CB,urgent,2026-05,Wednesday
2026-01-18,Uber,Autre,90.93,CB,,2026-01,Sunday
2026-01-07,Sncf Connect,Transport,79.13,PRELEVEMENT,,2026-01,Wednesday
2026-01-17,Assurance Habitation,Logement,821.64,CB,,2026-01,Saturday
2026-03-21,Fnac,Loisirs,109.47,CB,,2026-03,Saturday
2026-03-12,Marjane,Alimentation,105.89,CB,,2026-03,Thursday
2026-01-08,Dr Diallo,Sante,31.92,VIREMENT,,2026-01,Thursday
2026-02-16,Sncf Connect,Transport,107.24,PRELEVEMENT,a verifier,2026-02,Monday
2026-02-04,Marjane,Alimentation,23.18,PRELEVEMENT,,2026-02,Wednesday
2026-06-08,Loyer Appartement,Logement,639.81,CB,,2026-06,Monday
2026-03-04,Dr Diallo,Sante,82.33,CB,,2026-03,Wednesday
2026-03-05,Mutuelle,Sante,24.64,VIREMENT,,2026-03,Thursday
2026-04-19,Assurance Habitation,Logement,792.42,VIREMENT,,2026-04,Sunday
2026-03-27,Loyer Appartement,Logement,746.01,CB,pro,2026-03,Friday
2026-02-18,Total Energies,Transport,83.4,CB,,2026-02,Wednesday
2026-04-08,Fnac,Loisirs,100.46,VIREMENT,,2026-04,Wednesday
2026-02-04,Marjane,Alimentation,119.5,CB,,2026-02,Wednesday
2026-05-16,Orange Fibre,Logement,379.78,VIREMENT,urgent,2026-05,Saturday
2026-01-23,Edf,Logement,677.05,CB,,2026-01,Friday
2026-01-12,Assurance Habitation,Logement,779.5,VIREMENT,,2026-01,Monday
2026-02-24,Edf,Logement,326.75,CB,,2026-02,Tuesday
2026-01-18,Netflix,Autre,80.29,PRELEVEMENT,urgent,2026-01,Sunday
2026-04-09,Pharmacie Centrale,Sante,110.68,VIREMENT,,2026-04,Thursday
2026-03-08,Sncf Connect,Autre,137.67,CB,urgent,2026-03,Sunday
2026-04-19,Pass Navigo,Transport,138.33,CB,,2026-04,Sunday
2026-06-12,Netflix,Loisirs,104.62,CB,pro,2026-06,Friday
2026-04-25,Assurance Habitation,Logement,346.71,CB,,2026-04,Saturday
2026-05-25,Edf,Logement,777.31,CB,pro,2026-05,Monday
2026-02-09,Total Energies,Transport,71.7,CB,,2026-02,Monday
2026-03-23,Carrefour Market,Autre,31.16,CB,,2026-03,Monday
2026-01-12,Assurance Habitation,Logement,559.82,CB,urgent,2026-01,Monday
2026-05-23,Edf,Logement,475.58,CB,,2026-05,Saturday
2026-05-20,Boulangerie Paul,Alimentation,103.48,VIREMENT,,2026-05,Wednesday
2026-03-12,Sncf Connect,Transport,102.0,VIREMENT,a verifier,2026-03,Thursday
2026-05-21,Pass Navigo,Transport,55.46,CB,cadeau,2026-05,Thursday
2026-06-13,Marjane,Alimentation,130.29,PRELEVEMENT,,2026-06,Saturday
2026-04-07,Sncf Connect,Transport,73.04,VIREMENT,,2026-04,Tuesday
2026-05-17,Loyer Appartement,Logement,705.5,CB,,2026-05,Sunday
2026-03-07,Assurance Habitation,Logement,394.41,CB,,2026-03,Saturday
2026-02-26,Edf,Logement,315.76,CB,a verifier,2026-02,Thursday
2026-03-01,Uber,Transport,74.61,CB,,2026-03,Sunday
2026-06-18,Uber,Transport,85.14,CB,,2026-06,Thursday
2026-01-22,Cinema Pathe,Autre,28.19,CB,,2026-01,Thursday
2026-01-07,Orange Fibre,Logement,685.56,CB,pro,2026-01,Wednesday
2026-06-24,Cinema Pathe,Loisirs,117.58,CB,,2026-06,Wednesday
2026-01-10,Carrefour Market,Alimentation,16.09,CB,,2026-01,Saturday
2026-02-16,Edf,Logement,399.17,CB,,2026-02,Monday
2026-05-19,Spotify,Loisirs,132.09,VIREMENT,cadeau,2026-05,Tuesday
2026-01-08,Lidl,Alimentation,112.36,VIREMENT,pro,2026-01,Thursday
2026-06-19,Cinema Pathe,Loisirs,116.22,VIREMENT,a verifier,2026-06,Friday
2026-02-13,Pharmacie Centrale,Sante,51.95,CB,,2026-02,Friday
2026-06-15,Orange Fibre,Logement,416.66,CB,,2026-06,Monday
2026-02-27,Mutuelle,Sante,58.85,CB,,2026-02,Friday
2026-05-09,Fnac,Loisirs,112.12,CB,,2026-05,Saturday
2026-04-11,Lidl,Alimentation,97.62,PRELEVEMENT,urgent,2026-04,Saturday
2026-02-21,Edf,Logement,451.5,PRELEVEMENT,urgent,2026-02,Saturday
2026-03-02,Uber,Transport,98.33,CB,,2026-03,Monday
2026-02-26,Netflix,Loisirs,64.11,VIREMENT,cadeau,2026-02,Thursday
2026-01-28,Sncf Connect,Transport,139.52,PRELEVEMENT,,2026-01,Wednesday
2026-02-01,Netflix,Loisirs,48.19,CB,,2026-02,Sunday
2026-01-22,Fnac,Loisirs,84.23,VIREMENT,,2026-01,Thursday
2026-04-02,Netflix,Loisirs,9.37,CB,a verifier,2026-04,Thursday
2026-03-13,Netflix,Loisirs,137.03,CB,,2026-03,Friday
2026-02-04,Assurance Habitation,Logement,549.91,VIREMENT,,2026-02,Wednesday
