User_ID,Track_Movie_Name,Genre,Duration_Minutes,Device_Used,Date_Watched,User_Rating
U001,Stranger Things,Drame,52,Mobile,2026-01-05,4.5
U002,Blinding Lights,Pop,3,Web,2026-01-05,5
U003,The Witcher,Fantastique,60,TV,2026-01-06,
U004,As It Was,Pop,3,Mobile,2026-01-06,4
U001,Stranger Things,Drame,52,Mobile,2026-01-05,4.5
U005,Inception,Science-fiction,148,TV,2026-01-07,5
U006,,Rock,4,Web,2026-01-07,3.5
U007,Money Heist,Thriller,48,Mobile,2026-01-08,4
U008,Levitating,Pop,3,Tablette,,4.5
U009,Breaking Bad,Drame,47,TV,2026-01-09,5
U010,Dune,Science-fiction,155,TV,2026-01-09,
U004,As It Was,Pop,3,Mobile,2026-01-06,4
U011,Peaky Blinders,Drame,55,Web,2026-01-10,4.5
U012,Bad Guy,Pop,3,Mobile,2026-01-10,3
U013,The Crown,Drame,58,TV,2026-01-11,4
U014,Shape of You,Pop,4,,2026-01-11,4
U015,Interstellar,Science-fiction,169,TV,2026-01-12,5
U016,Flowers,Pop,3,Mobile,2026-01-12,
