Order_ID,Marketing_Channel,Cart_Value_USD,Is_Converted,Customer_Age,Purchase_Date
O1001,Instagram,89.90,1,27,2026-01-05
O1002,Google,45.00,0,34,05/01/2026
O1003,Instagram,120.50,1,22,2026-01-06
O1004,Facebook,0.00,0,41,06-01-2026
O1005,Google,210.00,1,29,2026/01/07
O1006,Email,35.90,1,52,07/01/2026
O1007,Instagram,64.00,0,19,2026-01-08
O1008,Facebook,150.75,1,38,08-01-2026
O1009,Google,,0,45,2026-01-09
O1010,Email,42.30,1,31,09/01/2026
O1011,Instagram,99.99,1,26,2026-01-10
O1012,Facebook,73.20,0,,10-01-2026
O1013,Google,185.00,1,36,2026/01/11
O1014,Email,28.50,0,49,11/01/2026
O1015,Instagram,110.00,1,24,2026-01-12
O1016,Facebook,55.40,1,33,12-01-2026
O1017,Google,240.90,1,40,2026/01/13
O1018,Email,19.99,0,58,13/01/2026
