Record_ID,Country,City,Year,Month,Average_Temperature_C,Anomaly_Indicator
R0001,Maroc,Marrakech,2006,7,38.5,Normal
R0002,maroc,Marrakech,2007,7,39.1,Normal
R0003,Maroc,Casablanca,2008,1,14.2,Normal
R0004,Sénégal,Dakar,2009,7,29.8,Eleve
R0005,MAROC,Marrakech,2010,7,40.2,eleve
R0006,Sénégal,Dakar,,7,30.1,Normal
R0007,Maroc,Casablanca,2012,1,13.9,Normal
R0008,Guinée,Conakry,2013,4,31.5,Normal
R0009,Senegal,Dakar,2014,7,,Eleve
R0010,Maroc,Marrakech,2015,7,41.0,Eleve
R0011,guinee,Conakry,2016,4,32.0,eleve
R0012,Maroc,Casablanca,,1,15.1,Normal
R0013,Sénégal,Dakar,2018,7,30.9,Normal
R0014,Guinée,Conakry,2019,4,31.8,Normal
R0015,Maroc,Marrakech,2020,7,42.3,Eleve
R0016,MAROC,Casablanca,2021,1,14.8,Normal
R0017,Sénégal,Dakar,2022,7,,Eleve
R0018,Maroc,Marrakech,2023,7,41.7,eleve
